"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34008","Verify Remember Me persists login state after browser restart","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
"","13402","Verify login with invalid password","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
"","17978","Verify user logout successfully","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
"","2156","get started link","chromium","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","951","Temporary Playwright Test","chromium","2026-07-21","passed","2026-07-21","","temp.spec.ts","",""
"","11937","Verify login with empty username","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
"","2826","has title","chromium","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","46860","Verify user can login successfully","chromium","2026-07-21","failed","2026-07-21","Login Module","Login.spec.ts","",""
"","14195","Authenticate User","setup","2026-07-21","passed","2026-07-21","","auth.setup.ts","",""
"","17154","Verify user can login with valid credentials","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
"","13286","Verify login with invalid username","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
"","11929","Verify login with empty password","auth-tests","2026-07-21","passed","2026-07-21","Authentication Module","auth.spec.ts","",""
